name,brand,description,category,price,rating,numReviews,countInStock
Calvin Klein Women's High Impact Sports Bra,Calvin Klein,Comfortable and supportive sports bra for women,Women's Fashion,3606.51,3,8781,432
Nike Men's Air Max 270 Running Shoes,Nike,Lightweight and cushioned running shoes for men,Sports & Outdoors,2249.99,4.5,5123,876
Apple iPhone 12 Pro,Apple,Powerful and advanced smartphone with a stunning display,Electronics,10799.00,4.8,9312,210
Sony WH-1000XM4 Wireless Noise-Canceling Headphones,Sony,Premium headphones with industry-leading noise cancellation,Electronics,4399.00,4.7,621,325
Samsung 65" QLED 4K Ultra HD Smart TV,Samsung,Immersive and vibrant 4K smart TV with Quantum Dot technology,Electronics,8599.00,4.6,312,64
Canon EOS 90D DSLR Camera,Canon,High-performance DSLR camera for professional photographers,Cameras,7899.00,4.9,189,43
Bose SoundLink Revolve Portable Bluetooth Speaker,Bose,Compact and portable speaker with 360-degree sound,Electronics,1499.00,4.4,2518,127
Fitbit Versa 3 Smartwatch,Fitbit,Advanced smartwatch with built-in GPS and health tracking features,Electronics,2199.00,4.3,1876,314
Adidas Men's Ultraboost 21 Running Shoes,Adidas,Responsive and comfortable running shoes for men,Sports & Outdoors,2799.99,4.7,362,543
LG 27" 4K UHD IPS Monitor,LG,High-resolution monitor with accurate colors and wide viewing angles,Computers & Accessories,2499.00,4.6,784,97
Samsung Galaxy Watch 4, Samsung, Stylish smartwatch with advanced health tracking features, Electronics, 3299.00, 4.6, 127, 286
Levi's Men's 501 Original Fit Jeans, Levi's, Classic and timeless jeans for men, Men's Fashion, 1599.99, 4.2, 518, 743
KitchenAid Artisan Stand Mixer, KitchenAid, Versatile and powerful stand mixer for baking enthusiasts, Home & Kitchen, 4499.00, 4.9, 962, 198
Sony PlayStation 5, Sony, Next-generation gaming console with immersive gaming experiences, Electronics, 7699.00, 4.7, 3672, 86
Nike Women's Flex Experience RN 10 Running Shoes, Nike, Lightweight and flexible running shoes for women, Sports & Outdoors, 1999.99, 4.4, 918, 665
Amazon Echo Dot (4th Generation), Amazon, Smart speaker with Alexa voice control for your home, Electronics, 699.00, 4.5, 3654, 542
Dell XPS 15 9500 Laptop, Dell, High-performance laptop with stunning 4K display and powerful specs, Computers & Accessories, 13699.00, 4.8, 721, 35
Ray-Ban Classic Aviator Sunglasses, Ray-Ban, Iconic and stylish sunglasses with UV protection, Fashion Accessories, 2799.00, 4.7, 982, 237
Cuisinart 14-Cup Food Processor, Cuisinart, Versatile and efficient food processor for your kitchen, Home & Kitchen, 1899.00, 4.3, 426, 124
Fitbit Charge 4 Fitness and Activity Tracker, Fitbit, Sleek and advanced tracker for monitoring your health and fitness, Electronics, 1599.00, 4.6, 1835, 502
Samsung 55" 4K UHD Smart LED TV, Samsung, Ultra-high-definition smart TV with vivid colors and smart features, Electronics, 5499.00, 4.5, 312, 78
Apple MacBook Air, Apple, Sleek and lightweight laptop with long battery life and fast performance, Computers & Accessories, 8499.00, 4.8, 982, 156
Adidas Women's Cloudfoam Pure Running Shoes, Adidas, Comfortable and lightweight running shoes for women, Sports & Outdoors, 1799.99, 4.3, 527, 342
Instant Pot Duo 7-in-1 Electric Pressure Cooker, Instant Pot, Versatile and convenient pressure cooker for easy cooking, Home & Kitchen, 1199.00, 4.6, 1764, 432
Sony Alpha a7 III Mirrorless Camera, Sony, Full-frame mirrorless camera with high-resolution image quality, Cameras, 14499.00, 4.9, 521, 72
Under Armour Men's Tech 2.0 Short Sleeve T-Shirt, Under Armour, Lightweight and breathable t-shirt for active men, Men's Fashion, 599.99, 4.4, 648, 895
Bose QuietComfort 35 II Wireless Noise-Canceling Headphones, Bose, Premium headphones with world-class noise cancellation, Electronics, 3699.00, 4.7, 1953, 217
Fitbit Inspire 2 Fitness Tracker, Fitbit, Sleek and affordable tracker with 24/7 heart rate monitoring, Electronics, 899.00, 4.2, 827, 672
LG 55" OLED 4K Ultra HD Smart TV, LG, Stunning OLED TV with deep blacks and wide color gamut, Electronics, 7999.00, 4.6, 312, 61
Nike Men's Dri-FIT Training Shorts, Nike, Moisture-wicking and comfortable shorts for men's workouts, Sports & Outdoors, 899.99, 4.3, 352, 743
Sony 65" 4K UHD HDR Smart TV, Sony, Immersive smart TV with stunning visuals and smart features, Electronics, 7499.00, 4.5, 412, 46
Calvin Klein Men's Slim Fit Dress Shirt, Calvin Klein, Stylish and fitted dress shirt for men, Men's Fashion, 1299.99, 4.3, 618, 283
Samsung Galaxy Buds Pro, Samsung, Premium wireless earbuds with immersive sound and active noise cancellation, Electronics, 1699.00, 4.6, 842, 167
Cuisinart 12-Cup Coffee Maker, Cuisinart, Programmable coffee maker with brew strength control, Home & Kitchen, 899.00, 4.4, 957, 325
Apple iPad Pro (12.9-inch), Apple, Powerful and versatile tablet with a stunning Liquid Retina XDR display, Electronics, 12999.00, 4.8, 1654, 87
Nike Women's Air Zoom Pegasus 38 Running Shoes, Nike, Responsive and cushioned running shoes for women, Sports & Outdoors, 2399.99, 4.7, 942, 432
Bose Solo 5 TV Soundbar, Bose, Compact soundbar for enhanced TV audio and Bluetooth connectivity, Electronics, 1999.00, 4.2, 748, 124
Dyson V11 Animal Cordless Vacuum Cleaner, Dyson, Powerful and cordless vacuum cleaner for pet owners, Home & Kitchen, 5899.00, 4.7, 521, 59
Fitbit Ace 3 Kids Fitness Tracker, Fitbit, Kid-friendly tracker for monitoring activity and promoting healthy habits, Electronics, 599.00, 4.3, 217, 523
Adidas Men's Tiro 19 Training Pants, Adidas, Breathable and comfortable pants for men's training sessions, Sports & Outdoors, 799.99, 4.6, 327, 631
LG 75" 8K UHD Smart OLED TV, LG, Immersive 8K smart TV with OLED technology and AI ThinQ, Electronics, 13999.00, 4.7, 312, 28
Nike Women's Air Max 90 Sneakers, Nike, Classic and stylish sneakers for women with Max Air cushioning, Women's Fashion, 1899.99, 4.4, 528, 396
KitchenAid 5-Speed Hand Mixer, KitchenAid, Compact and versatile hand mixer for baking and cooking needs, Home & Kitchen, 799.00, 4.5, 876, 239
Sony WH-1000XM4 Wireless Noise-Canceling Headphones, Sony, Premium headphones with industry-leading noise cancellation, Electronics, 4399.00, 4.7, 621, 325
Apple Watch Series 6, Apple, Advanced smartwatch with blood oxygen monitoring and ECG app, Electronics, 6499.00, 4.8, 1783, 142
Canon EOS Rebel T8i DSLR Camera, Canon, Versatile DSLR camera with high-resolution imaging capabilities, Cameras, 5899.00, 4.6, 291, 76
Under Armour Men's Tech Polo Shirt, Under Armour, Lightweight and moisture-wicking polo shirt for men, Men's Fashion, 699.99, 4.3, 418, 634
JBL Flip 5 Portable Bluetooth Speaker, JBL, Compact and waterproof speaker with powerful sound quality, Electronics, 1299.00, 4.5, 751, 429
Fitbit Versa 2 Smartwatch, Fitbit, Stylish smartwatch with built-in voice assistant and sleep tracking, Electronics, 1999.00, 4.2, 1512, 264
Adidas Women's Ultraboost 21 Running Shoes, Adidas, Responsive and cushioned running shoes for women, Sports & Outdoors, 2799.99, 4.7, 762, 492
